name,layer_info,input,out,dot,add,compare,ops,weight_size,activation_size
conv1,"kernel=7x7,stride=2x2,pad=3x3,num_out=64","[1, 3, 224, 224]","[1, 64, 112, 112]",118013952,118013952,0,236027904,9408,802816
bn1,None,"[1, 64, 112, 112]","[1, 64, 112, 112]",802816,802816,0,1605632,0,802816
relu,None,"[1, 64, 112, 112]","[1, 64, 112, 112]",0,0,802816,802816,0,802816
maxpool,"kernel=3x3,stride=2x2,pad=1x1,type=max","[1, 64, 112, 112]","[1, 64, 56, 56]",0,0,1605632,1605632,0,200704
layer1.0.conv1,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 64, 56, 56]","[1, 64, 56, 56]",12845056,12845056,0,25690112,4096,200704
layer1.0.bn1,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,200704,0,401408,0,200704
layer1.0.relu,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",0,0,200704,200704,0,200704
layer1.0.conv2,"kernel=3x3,stride=1x1,pad=1x1,num_out=64","[1, 64, 56, 56]","[1, 64, 56, 56]",115605504,115605504,0,231211008,36864,200704
layer1.0.bn2,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,200704,0,401408,0,200704
layer1.0.relu,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",0,0,200704,200704,0,200704
layer1.0.conv3,"kernel=1x1,stride=1x1,pad=0x0,num_out=256","[1, 64, 56, 56]","[1, 256, 56, 56]",51380224,51380224,0,102760448,16384,802816
layer1.0.bn3,None,"[1, 256, 56, 56]","[1, 256, 56, 56]",802816,802816,0,1605632,0,802816
layer1.0.downsample.0,"kernel=1x1,stride=1x1,pad=0x0,num_out=256","[1, 64, 56, 56]","[1, 256, 56, 56]",51380224,51380224,0,102760448,16384,802816
layer1.0.downsample.1,None,"[1, 256, 56, 56]","[1, 256, 56, 56]",802816,802816,0,1605632,0,802816
layer1.0.relu,None,"[1, 256, 56, 56]","[1, 256, 56, 56]",0,0,802816,802816,0,802816
